"date","id","SO2","NO2","O3","PM10","CO","PM2.5","C6H6"
2022-11-06 16:00:00,736,2.1951,15.7637,40.9411,16.2156,321.673,14.5474,1.06578
2022-11-06 15:00:00,736,2.09239,19.2357,42.4924,13.2555,309.506,11.7038,0.69435
2022-11-06 14:00:00,736,2.3894,14.7907,44.5095,12.2443,303.859,11.0624,0.56709
2022-11-06 13:00:00,736,2.60649,9.3195,52.2086,10.9447,282.507,9.58374,0.58904
2022-11-06 12:00:00,736,2.83923,6.06102,60.3844,9.57694,253.731,7.96205,0.39599
2022-11-06 11:00:00,736,2.60851,5.71349,58.4293,9.47577,256.24,7.87186,0.48141
2022-11-06 10:00:00,736,2.64501,6.00151,54.6963,9.85278,249.109,8.2956,0.42228
2022-11-06 09:00:00,736,2.62658,7.09723,47.4801,11.2052,254.371,9.8451,0.50913
2022-11-06 08:00:00,736,2.9597,10.4429,39.965,11.3768,269.641,10.029,0.77859
2022-11-06 07:00:00,736,2.32336,19.7857,16.6663,15.3731,314.08,13.5811,0.7245
2022-11-06 06:00:00,736,1.99882,17.1756,22.3834,12.853,269.115,11.6906,0.60507
2022-11-06 05:00:00,736,1.80091,18.4743,24.5268,10.3395,250.738,9.32831,0.6576
2022-11-06 04:00:00,736,1.8834,7.73224,38.5295,9.14332,219.615,8.12948,0.31905
2022-11-06 03:00:00,736,2.06769,5.24959,44.3063,8.25084,209.135,7.19619,0.41787
2022-11-06 02:00:00,736,2.00851,4.41642,44.7659,8.5822,214.58,7.68116,0.4977
2022-11-06 01:00:00,736,NA,NA,44.4256,9.1409,224.656,8.115,0.40617
2022-11-06 00:00:00,736,1.79984,7.02108,43.0048,9.83127,242.192,8.59339,0.56808
2022-11-05 23:00:00,736,1.91653,7.04409,45.1484,10.5708,NA,9.15868,0.58779
2022-11-08 06:00:00,750,NA,NA,31.6251,NA,NA,NA,NA
2022-11-08 05:00:00,750,NA,NA,29.341,NA,NA,NA,NA
2022-11-08 04:00:00,750,NA,NA,30.9616,NA,NA,NA,NA
2022-11-08 03:00:00,750,NA,NA,NA,NA,NA,NA,NA
2022-11-08 02:00:00,750,NA,NA,32.4966,NA,NA,NA,NA
2022-11-08 01:00:00,750,NA,NA,NA,NA,NA,NA,NA
2022-11-08 00:00:00,750,NA,NA,33.4697,NA,NA,NA,NA
2022-11-07 23:00:00,750,NA,NA,33.4324,NA,NA,NA,NA
2022-11-07 22:00:00,750,NA,NA,33.4174,NA,NA,NA,NA
2022-11-07 21:00:00,750,NA,NA,34.672,NA,NA,NA,NA
2022-11-07 20:00:00,750,NA,NA,36.1296,NA,NA,NA,NA
2022-11-07 19:00:00,750,NA,NA,36.8245,NA,NA,NA,NA
2022-11-07 18:00:00,750,NA,NA,38.4128,NA,NA,NA,NA
2022-11-07 17:00:00,750,NA,NA,38.9285,NA,NA,NA,NA
2022-11-07 16:00:00,750,NA,NA,37.6716,NA,NA,NA,NA
2022-11-07 15:00:00,750,NA,NA,36.148,NA,NA,NA,NA
2022-11-07 14:00:00,750,NA,NA,36.5973,NA,NA,NA,NA
2022-11-07 13:00:00,750,NA,NA,37.3187,NA,NA,NA,NA
2022-11-07 12:00:00,750,NA,NA,37.2939,NA,NA,NA,NA
2022-11-07 11:00:00,750,NA,NA,36.5707,NA,NA,NA,NA
2022-11-07 10:00:00,750,NA,NA,NA,NA,NA,NA,NA
