DatetimeBegin UTC+01;date_beg_UTC_00;Concentration;AirQualityStationEoICode;AirPollutant;AveragingTime;;;DatetimeEnd
13.01.2022 22:00;13.01.2022 21:00;28.96;PL0012A;PM10;hour;;;2022-01-13 23:00:00 +01:00
13.01.2022 23:00;13.01.2022 22:00;28.18;PL0012A;PM10;hour;;;2022-01-14 00:00:00 +01:00
14.01.2022 00:00;13.01.2022 23:00;31.31;PL0012A;PM10;hour;;;2022-01-14 01:00:00 +01:00
14.01.2022 01:00;14.01.2022 00:00;29.12;PL0012A;PM10;hour;;;2022-01-14 02:00:00 +01:00
14.01.2022 02:00;14.01.2022 01:00;31.02;PL0012A;PM10;hour;;;2022-01-14 03:00:00 +01:00
14.01.2022 03:00;14.01.2022 02:00;33.89;PL0012A;PM10;hour;;;2022-01-14 04:00:00 +01:00
14.01.2022 04:00;14.01.2022 03:00;34.73;PL0012A;PM10;hour;;;2022-01-14 05:00:00 +01:00
14.01.2022 05:00;14.01.2022 04:00;34.12;PL0012A;PM10;hour;;;2022-01-14 06:00:00 +01:00
14.01.2022 06:00;14.01.2022 05:00;36.24;PL0012A;PM10;hour;;;2022-01-14 07:00:00 +01:00
14.01.2022 07:00;14.01.2022 06:00;38.00;PL0012A;PM10;hour;;;2022-01-14 08:00:00 +01:00
14.01.2022 08:00;14.01.2022 07:00;38.91;PL0012A;PM10;hour;;;2022-01-14 09:00:00 +01:00
14.01.2022 09:00;14.01.2022 08:00;33.52;PL0012A;PM10;hour;;;2022-01-14 10:00:00 +01:00
14.01.2022 10:00;14.01.2022 09:00;29.78;PL0012A;PM10;hour;;;2022-01-14 11:00:00 +01:00
14.01.2022 11:00;14.01.2022 10:00;26.28;PL0012A;PM10;hour;;;2022-01-14 12:00:00 +01:00
14.01.2022 12:00;14.01.2022 11:00;31.73;PL0012A;PM10;hour;;;2022-01-14 13:00:00 +01:00
14.01.2022 13:00;14.01.2022 12:00;29.97;PL0012A;PM10;hour;;;2022-01-14 14:00:00 +01:00
14.01.2022 14:00;14.01.2022 13:00;31.38;PL0012A;PM10;hour;;;2022-01-14 15:00:00 +01:00
14.01.2022 15:00;14.01.2022 14:00;29.30;PL0012A;PM10;hour;;;2022-01-14 16:00:00 +01:00
14.01.2022 16:00;14.01.2022 15:00;25.62;PL0012A;PM10;hour;;;2022-01-14 17:00:00 +01:00
14.01.2022 17:00;14.01.2022 16:00;19.81;PL0012A;PM10;hour;;;2022-01-14 18:00:00 +01:00
14.01.2022 18:00;14.01.2022 17:00;18.06;PL0012A;PM10;hour;;;2022-01-14 19:00:00 +01:00
14.01.2022 19:00;14.01.2022 18:00;17.05;PL0012A;PM10;hour;;;2022-01-14 20:00:00 +01:00
14.01.2022 20:00;14.01.2022 19:00;15.57;PL0012A;PM10;hour;;;2022-01-14 21:00:00 +01:00
14.01.2022 21:00;14.01.2022 20:00;13.48;PL0012A;PM10;hour;;;2022-01-14 22:00:00 +01:00
14.01.2022 22:00;14.01.2022 21:00;15.58;PL0012A;PM10;hour;;;2022-01-14 23:00:00 +01:00
14.01.2022 23:00;14.01.2022 22:00;14.00;PL0012A;PM10;hour;;;2022-01-15 00:00:00 +01:00
15.01.2022 00:00;14.01.2022 23:00;14.38;PL0012A;PM10;hour;;;2022-01-15 01:00:00 +01:00
15.01.2022 01:00;15.01.2022 00:00;17.24;PL0012A;PM10;hour;;;2022-01-15 02:00:00 +01:00
15.01.2022 02:00;15.01.2022 01:00;19.28;PL0012A;PM10;hour;;;2022-01-15 03:00:00 +01:00
15.01.2022 03:00;15.01.2022 02:00;18.95;PL0012A;PM10;hour;;;2022-01-15 04:00:00 +01:00
15.01.2022 04:00;15.01.2022 03:00;22.12;PL0012A;PM10;hour;;;2022-01-15 05:00:00 +01:00
15.01.2022 05:00;15.01.2022 04:00;22.29;PL0012A;PM10;hour;;;2022-01-15 06:00:00 +01:00
15.01.2022 06:00;15.01.2022 05:00;20.55;PL0012A;PM10;hour;;;2022-01-15 07:00:00 +01:00
15.01.2022 07:00;15.01.2022 06:00;25.14;PL0012A;PM10;hour;;;2022-01-15 08:00:00 +01:00
15.01.2022 08:00;15.01.2022 07:00;22.01;PL0012A;PM10;hour;;;2022-01-15 09:00:00 +01:00
15.01.2022 09:00;15.01.2022 08:00;22.14;PL0012A;PM10;hour;;;2022-01-15 10:00:00 +01:00
15.01.2022 10:00;15.01.2022 09:00;21.50;PL0012A;PM10;hour;;;2022-01-15 11:00:00 +01:00
15.01.2022 11:00;15.01.2022 10:00;57.46;PL0012A;PM10;hour;;;2022-01-15 12:00:00 +01:00
15.01.2022 12:00;15.01.2022 11:00;93.41;PL0012A;PM10;hour;;;2022-01-15 13:00:00 +01:00
15.01.2022 13:00;15.01.2022 12:00;63.44;PL0012A;PM10;hour;;;2022-01-15 14:00:00 +01:00
15.01.2022 14:00;15.01.2022 13:00;67.47;PL0012A;PM10;hour;;;2022-01-15 15:00:00 +01:00
